"V1" "V2"
"theta_cur" 4.11641202357995 8.35815486443295
"theta_cur" 4.07894864220566 8.64057582767054
"theta_cur" 3.92898380750079 2.57004903793583
"theta_cur" 3.41010568519093 4.17462174851361
"theta_cur" 2.21723893292015 4.31863950884078
"theta_cur" 3.01352226226943 5.53832025497765
"theta_cur" 3.08912437523128 6.84866950952142
"theta_cur" 3.95245950699012 5.14216081795092
"theta_cur" 3.42905104369467 5.74102978709134
"theta_cur" 4.49343023908484 10.7443401918668
"theta_cur" 3.27629366197493 6.40248150534602
"theta_cur" 3.88288185713922 7.16030471328912
"theta_cur" 3.05097069013208 6.96773260471708
"theta_cur" 2.9013924945805 6.16892457676551
"theta_cur" 3.45913177505321 4.47624955833589
"theta_cur" 2.87648272927786 7.28258781366328
"theta_cur" 2.75601549487704 7.27156392636538
"theta_cur" 4.00659417089277 10.786887246468
"theta_cur" 3.56365511461731 3.5295076838687
"theta_cur" 2.03788387103788 6.21751363016675
"theta_cur" 3.79878227414375 4.4777190283151
"theta_cur" 2.96234183063745 4.47360820088864
"theta_cur" 4.8931614949176 7.50771466902729
"theta_cur" 3.07046747221019 6.73447589553405
"theta_cur" 2.98951453929987 5.01279063855602
"theta_cur" 2.58652169002671 4.10866840025912
"theta_cur" 3.49629122057911 6.14649824862751
"theta_cur" 4.49643202664175 4.21547760301461
"theta_cur" 3.36531962129287 5.53716192756604
"theta_cur" 3.78514171054055 5.70467497614003
"theta_cur" 3.69571016471272 8.82921057873129
"theta_cur" 3.83750987432237 6.0879772810512
"theta_cur" 4.73032550728409 6.43544506093443
"theta_cur" 4.13861594162682 5.4592357768591
"theta_cur" 3.83577364368696 4.53414622590034
"theta_cur" 3.79940273879984 8.06980005015389
"theta_cur" 3.79761325556502 2.96615829506508
"theta_cur" 2.90334040412115 4.38998610982858
"theta_cur" 4.74011838785122 5.80764349073859
"theta_cur" 3.11145051344316 5.44410342752477
"theta_cur" 2.54936077341078 5.64182794531328
